,address1,address2,city,country_code,description,latitude,longitude,state_code,zip_code,location,Geolocation
1792,P.O. Box 700,,Saint James,USA,"Unity 4 Humanity, Inc.",40.8887993,-73.1762626,NY,11780,"[-73.1762626, 40.8887993]","[-73.1762626, 40.8887993]"
1795,1514 Blake St,,Denver,USA,Headquarters,39.749671,-104.9998449,CO,80202,"[-104.9998449, 39.749671]","[-104.9998449, 39.749671]"
1798,Braniborska 2/10,,Wroclaw,POL,Wroclaw Office,51.110381,17.016446,,53-668,"[17.016446, 51.110381]","[17.016446, 51.110381]"
1799,Peter House,Oxford Street,Manchester,GBR,Manchester (UK) Office,53.47363,-2.249752,,M1 5AN,"[-2.249752, 53.47363]","[-2.249752, 53.47363]"
1800,"C/Napols 187, 8",,Barcelona,ESP,3scale SPAIN,41.406335,2.192023,,08013,"[2.192023, 41.406335]","[2.192023, 41.406335]"
1804,Otterstraat 199,,Turnhout,BEL,Headquarters,51.321354,4.958736,,2300,"[4.958736, 51.321354]","[4.958736, 51.321354]"
1805,P.O. Box 700,,Saint James,USA,"Unity 4 Humanity, Inc.",40.8887993,-73.1762626,NY,11780,"[-73.1762626, 40.8887993]","[-73.1762626, 40.8887993]"
1808,1514 Blake St,,Denver,USA,Headquarters,39.749671,-104.9998449,CO,80202,"[-104.9998449, 39.749671]","[-104.9998449, 39.749671]"
1811,Braniborska 2/10,,Wroclaw,POL,Wroclaw Office,51.110381,17.016446,,53-668,"[17.016446, 51.110381]","[17.016446, 51.110381]"
1812,Peter House,Oxford Street,Manchester,GBR,Manchester (UK) Office,53.47363,-2.249752,,M1 5AN,"[-2.249752, 53.47363]","[-2.249752, 53.47363]"
1813,"C/Napols 187, 8",,Barcelona,ESP,3scale SPAIN,41.406335,2.192023,,08013,"[2.192023, 41.406335]","[2.192023, 41.406335]"
1817,Otterstraat 199,,Turnhout,BEL,Headquarters,51.321354,4.958736,,2300,"[4.958736, 51.321354]","[4.958736, 51.321354]"
1818,39395 W.12 Mile Rd,Suite 200,Farmington Hills,USA,Headquarters,42.496914,-83.435298,MI,48331,"[-83.435298, 42.496914]","[-83.435298, 42.496914]"
1819,via spessa 25/c,,carmignano di brenta,ITA,headquarter,45.629498,11.688666,,35010,"[11.688666, 45.629498]","[11.688666, 45.629498]"
1820,6 West Druid Hills Drive NE,Suite 401,Atlanta,USA,Headquarters,33.8317964,-84.3391231,GA,30329,"[-84.3391231, 33.8317964]","[-84.3391231, 33.8317964]"
1821,Berkeley Square House,,London,GBR,London Office,51.509905,-0.145438,,W1,"[-0.145438, 51.509905]","[-0.145438, 51.509905]"
1823,Beeby Clark+Meyler,700 Canal Street 3rd Floor,Stamford,USA,Main Office,41.0411194,-73.541744,CT,06902,"[-73.541744, 41.0411194]","[-73.541744, 41.0411194]"
1824,12300 Ford St,Suite 135,Dallas,USA,Dallas Office,32.913601,-96.890405,TX,75234,"[-96.890405, 32.913601]","[-96.890405, 32.913601]"
1826,,,Torrance,USA,,33.844642,-118.357883,CA,90503,"[-118.357883, 33.844642]","[-118.357883, 33.844642]"
1828,8555 Rio San Diego Drive,Suite 301,San Diego,USA,San Diego Headquarters,32.774948,-117.143917,CA,92108,"[-117.143917, 32.774948]","[-117.143917, 32.774948]"
1829,Dulle Grietlaan 1/0001,,Gentbrugge,BEL,head,51.04705,3.727134,,9050,"[3.727134, 51.04705]","[3.727134, 51.04705]"
1833,11 Great Oaks,,San Jose,USA,,37.2318159,-121.7822278,CA,95119,"[-121.7822278, 37.2318159]","[-121.7822278, 37.2318159]"
1834,108 Hessel Blvd. Suite 201,,Champaign,USA,National Office,40.10265,-88.243945,IL,61820,"[-88.243945, 40.10265]","[-88.243945, 40.10265]"
1835,,,Davis,USA,West Coast Office,38.552782,-121.734779,CA,95616,"[-121.734779, 38.552782]","[-121.734779, 38.552782]"
1836,655 Lewelling Blvd,Suite 318,San Leandro,USA,C-KDeals Technology,37.686686,-122.137501,CA,94579,"[-122.137501, 37.686686]","[-122.137501, 37.686686]"
1837,4221 Redwood Ave.,,Los Angeles,USA,Los Angeles,33.988687,-118.439532,CA,90066,"[-118.439532, 33.988687]","[-118.439532, 33.988687]"
1838,10812 N Scottsdale Rd,,Scottsdale,USA,Main,33.584727,-111.926475,AZ,85260,"[-111.926475, 33.584727]","[-111.926475, 33.584727]"
1839,1 Bluxome Place,Suite 204,San Francisco,USA,GotGame HQ,37.77772,-122.395785,CA,94107,"[-122.395785, 37.77772]","[-122.395785, 37.77772]"
1840,201 N Franklin Ave,Suite 3410,Tampa,USA,Head Office,27.943634,-82.45566,FL,33609,"[-82.45566, 27.943634]","[-82.45566, 27.943634]"
1842,37 rue Guibal,,Marseille,FRA,Marseille HQ,43.30758,5.387345,,13003,"[5.387345, 43.30758]","[5.387345, 43.30758]"
1843,1200 West Causeway Approach,Suite 24,Mandeville,USA,,29.973994,-90.082202,LA,70471,"[-90.082202, 29.973994]","[-90.082202, 29.973994]"
1845,,,Paris,FRA,Corporate HQ,48.8785618,2.3603689,,75010,"[2.3603689, 48.8785618]","[2.3603689, 48.8785618]"
1847,8455 Beverly Blvd. Suite 309,,West Hollywood,USA,Los Angeles Office,34.076404,-118.375053,CA,90048,"[-118.375053, 34.076404]","[-118.375053, 34.076404]"
1849,15 West 26th Street,,New York,USA,,40.744201,-73.989505,NY,10010,"[-73.989505, 40.744201]","[-73.989505, 40.744201]"
1850,164 S. Park St.,,San Francisco,USA,Virgance,37.781262,-122.394958,CA,94107,"[-122.394958, 37.781262]","[-122.394958, 37.781262]"
1851,27 W. 24th St.,,New York,USA,,40.743165,-73.990853,NY,10010,"[-73.990853, 40.743165]","[-73.990853, 40.743165]"
1852,701 E. 3rd Street,Suite 315,Los Angeles,USA,Los Angeles Office,34.045845,-118.237811,CA,90013,"[-118.237811, 34.045845]","[-118.237811, 34.045845]"
1853,105 E. Main Street,Suite 201,Mason,USA,Ohio Office,39.360128,-84.308653,OH,45040-1965,"[-84.308653, 39.360128]","[-84.308653, 39.360128]"
1854,2953 Bunker Hill Lane,4th Floor,Santa Clara,USA,,37.40688,-121.980353,CA,95054,"[-121.980353, 37.40688]","[-121.980353, 37.40688]"
1855,335 Double Road,Indiranagar 1st Stage,Bangalore,IND,India Office,12.9561278,77.5922642,,560038,"[77.5922642, 12.9561278]","[77.5922642, 12.9561278]"
1856,"246, Fifth Avenue",Ste. 301,New York,USA,USA Office,40.744549,-73.988071,NY,10001,"[-73.988071, 40.744549]","[-73.988071, 40.744549]"
1857,Level 4,177-185 William St,Darlinghurst,AUS,,-33.8719926,151.1936039,,2010,"[151.1936039, -33.8719926]","[151.1936039, -33.8719926]"
1859,428 Fore Street,,Portland,USA,Headquarters,43.6559182,-70.2544712,ME,04101,"[-70.2544712, 43.6559182]","[-70.2544712, 43.6559182]"
1860,1231 Delaware Ave,,Buffalo,USA,Main office,42.917329,-78.867993,NY,14209,"[-78.867993, 42.917329]","[-78.867993, 42.917329]"
1862,9 rue Desargues,,Paris,FRA,Paris Office,48.8696076,2.3763621,,75011,"[2.3763621, 48.8696076]","[2.3763621, 48.8696076]"
1863,Mamoosweg 14,,Thalgau,AUT,Main office,47.86582,13.261829,,5303,"[13.261829, 47.86582]","[13.261829, 47.86582]"
1864,101 Whitney Ave.,Suite C,New Haven,USA,,41.3134377,-72.9216637,CT,06510,"[-72.9216637, 41.3134377]","[-72.9216637, 41.3134377]"
1865,"8370 W. Flagler Street, Suite 125",,Miami,USA,Headquarters,25.769174,-80.331681,FL,33144,"[-80.331681, 25.769174]","[-80.331681, 25.769174]"
1866,34-36 rue de la Belle Feuille,,Boulogne-BIllancourt,FRA,,48.8372776,2.2435585,,92100,"[2.2435585, 48.8372776]","[2.2435585, 48.8372776]"
1869,Villamiel de CÃ¡ceres 13,,Madrid,ESP,,40.4511364,-3.6096649,,28042,"[-3.6096649, 40.4511364]","[-3.6096649, 40.4511364]"
1870,2448 E 81st,Suite 5615,Tulsa,USA,Tulsa Office,36.0463849,-95.9550264,OK,74137,"[-95.9550264, 36.0463849]","[-95.9550264, 36.0463849]"
1871,6900 E. Camelback Road,Suite 840,Scottsdale,USA,Headquarters,33.502612,-111.9315649,AZ,85251,"[-111.9315649, 33.502612]","[-111.9315649, 33.502612]"
1872,"118, Amfitheas Avenue",P. Faliro,Athens,GRC,Athens Office,37.9415136,23.6880355,,17562,"[23.6880355, 37.9415136]","[23.6880355, 37.9415136]"
1873,640 Freedom Drive,Suite 201,King of Prussia,USA,Sales Office,40.0932451,-75.4117431,PA,19406,"[-75.4117431, 40.0932451]","[-75.4117431, 40.0932451]"
1874,PO Box 256,,Doylestown,USA,Mailing Address,40.3072428,-75.1428632,PA,18901,"[-75.1428632, 40.3072428]","[-75.1428632, 40.3072428]"
1875,Europaallee 20,,Kaiserslautern,DEU,Headquarter,49.462574,7.6934194,,67657,"[7.6934194, 49.462574]","[7.6934194, 49.462574]"
1877,Schulstrasse 8,,Weinheim,DEU,HQ,49.5507557,8.6759098,,69469,"[8.6759098, 49.5507557]","[8.6759098, 49.5507557]"
1878,402 E. Gutierrez St.,,Santa Barbara,USA,,34.420316,-119.688412,CA,93101,"[-119.688412, 34.420316]","[-119.688412, 34.420316]"
1879,11250 Waples Mill Road,,Fairfax,USA,Headquarters,38.863389,-77.335266,VA,22030,"[-77.335266, 38.863389]","[-77.335266, 38.863389]"
1885,135 Middle Road,Bylands Building #02-08,Singapore,SGP,Singapore HQ,1.297079,103.8557638,,188975,"[103.8557638, 1.297079]","[103.8557638, 1.297079]"
1888,11 E. 44th Street,Suite 1200,New York,USA,Napier Partners,40.7543489,-73.9789451,NY,10017,"[-73.9789451, 40.7543489]","[-73.9789451, 40.7543489]"
1889,2382 Faraday Ave,Suite 150,Carlsbad,USA,PixelActive Headquarters,33.136474,-117.274841,CA,92008,"[-117.274841, 33.136474]","[-117.274841, 33.136474]"
1890,321 Water Street,Suite 350,"Vancouver, BC",CAN,Head Office,49.2843936,-123.1092622,,V6B 1B8,"[-123.1092622, 49.2843936]","[-123.1092622, 49.2843936]"
1891,211 Warren Street,Suite 1019,Newark,USA,Headquarters,40.742416,-74.182118,NJ,07103,"[-74.182118, 40.742416]","[-74.182118, 40.742416]"
1892,900 Del Norte Blvd,,Oxnard,USA,,34.210099,-119.12636,CA,93030,"[-119.12636, 34.210099]","[-119.12636, 34.210099]"
1893,Skovbrynet 20,,Bagsvaerd,DNK,Copenhagen Office,55.7680455,12.437582,,2880,"[12.437582, 55.7680455]","[12.437582, 55.7680455]"
1895,P.O. Box 6374,,Round Rock,USA,Headquarters,30.5102,-97.7067,TX,78683,"[-97.7067, 30.5102]","[-97.7067, 30.5102]"
1896,2525 Main Street,Suite 300,Santa Monica,USA,Headquarters,34.0028373,-118.4844228,CA,90405,"[-118.4844228, 34.0028373]","[-118.4844228, 34.0028373]"
1897,2400 Boston Street,Suite 320,Baltimore,USA,Groove Headquarters,39.271785,-76.611379,MD,21224,"[-76.611379, 39.271785]","[-76.611379, 39.271785]"
1898,Suite 280,,Newport Beach,USA,1400 Quail Street,33.63776,-117.855989,CA,92660,"[-117.855989, 33.63776]","[-117.855989, 33.63776]"
1899,,,San Francisco,USA,,37.7618242,-122.3985871,CA,94107,"[-122.3985871, 37.7618242]","[-122.3985871, 37.7618242]"
1900,Level 1,40 King St.,"Sydney, NSW",AUS,Head Office,-33.863621,151.213376,,2000,"[151.213376, -33.863621]","[151.213376, -33.863621]"
1902,Level 3,47 Wellington Street,St Kilda,AUS,Head Office,-37.858685,144.983243,,3182,"[144.983243, -37.858685]","[144.983243, -37.858685]"
1903,1029 Chestnut Street,,Newton Upper Falls,USA,Office,42.313047,-71.22327,MA,02464,"[-71.22327, 42.313047]","[-71.22327, 42.313047]"
1904,"General Barroso, 66",,Valencia,ESP,Efebege,39.4502107,-0.3924646,,46017,"[-0.3924646, 39.4502107]","[-0.3924646, 39.4502107]"
1906,250 West Nayck Worad,Suite 200,West Nyack,USA,,41.119452,-74.115851,NY,10994,"[-74.115851, 41.119452]","[-74.115851, 41.119452]"
1908,34 Tower Avenue,,Needham,USA,,42.294516,-71.2269013,MA,02494,"[-71.2269013, 42.294516]","[-71.2269013, 42.294516]"
1909,220 Montgomery Street,#991,San Francisco,USA,San Francisco,37.788796,-122.40971,CA,94104,"[-122.40971, 37.788796]","[-122.40971, 37.788796]"
1910,716 Adams Street,,New Orleans,USA,New Orleans,29.9739941,-90.0822015,LA,70118,"[-90.0822015, 29.9739941]","[-90.0822015, 29.9739941]"
1911,Faraday 7,,Madrid,ESP,Madrid,40.6070897,-3.6912754,ME,28049,"[-3.6912754, 40.6070897]","[-3.6912754, 40.6070897]"
1912,Rue voltaire,,Levallois Perret,FRA,Paris,48.8921396,2.2847419,,92500,"[2.2847419, 48.8921396]","[2.2847419, 48.8921396]"
1914,7739 E. Broadway,#167,Tucson,USA,,32.222156,-110.825525,AZ,85710,"[-110.825525, 32.222156]","[-110.825525, 32.222156]"
1915,,,London,GBR,Head Office,51.5001524,-0.1262362,,SE1 2NQ,"[-0.1262362, 51.5001524]","[-0.1262362, 51.5001524]"
1916,"881 S. Winchester Blvd,",Unit 95,San Jose,USA,,37.3108702,-121.950142,CA,95128,"[-121.950142, 37.3108702]","[-121.950142, 37.3108702]"
1919,5523 Research Park Drive,Suite 370,Catonsville,USA,Main Office,39.236548,-76.828943,MD,21228,"[-76.828943, 39.236548]","[-76.828943, 39.236548]"
1921,248 W 35th St.,17th Floor,New York,USA,ScienCentral Inc.,40.752224,-73.99211,NY,10001,"[-73.99211, 40.752224]","[-73.99211, 40.752224]"
1922,121 Gray Ave,Suite 101,Santa Barbara,USA,ZOS Headquarters,34.414177,-119.688565,CA,93101,"[-119.688565, 34.414177]","[-119.688565, 34.414177]"
1923,448 E 800 N,,Orem,USA,Corporate,40.311946,-111.6850207,UT,84097,"[-111.6850207, 40.311946]","[-111.6850207, 40.311946]"
1924,P.O. Box 7360,,New York,USA,US Office,47.6023367,-122.2850112,NY,10116,"[-122.2850112, 47.6023367]","[-122.2850112, 47.6023367]"
1925,Erottajankatu 15-17,,Helsinki,FIN,Frosmo HQ,60.1659819,24.9438568,,00130,"[24.9438568, 60.1659819]","[24.9438568, 60.1659819]"
1927,22001 Fairmount Boulevard,,Shaker Heights,USA,,41.4865099,-81.5257116,OH,44118,"[-81.5257116, 41.4865099]","[-81.5257116, 41.4865099]"
1928,1131 Wenig Road NE,,Cedar Rapids,USA,Cedar Rapids HQ,30.355259,-97.796115,IA,52402,"[-97.796115, 30.355259]","[-97.796115, 30.355259]"
1929,1515 75th st sw suite 800,,everett,USA,Everett Office,47.931263,-122.255136,WA,98208,"[-122.255136, 47.931263]","[-122.255136, 47.931263]"
1932,"Milton,",Queensland,Queensland,AUS,"7 Marie Street,",-27.471324,153.004781,,4064,"[153.004781, -27.471324]","[153.004781, -27.471324]"
1934,"8, rue de la Rochefoucauld",,Paris,FRA,Headquarters,48.8775197,2.334266,,75009,"[2.334266, 48.8775197]","[2.334266, 48.8775197]"
1935,,,Barcelona,ESP,Barcelona - R+D office,41.4320885,2.1429029,,08172,"[2.1429029, 41.4320885]","[2.1429029, 41.4320885]"
1937,241 Centre Street,Suite 6FL,New York,USA,Headquarters,40.720391,-73.9983139,NY,10013,"[-73.9983139, 40.720391]","[-73.9983139, 40.720391]"
1938,610 SW Alder Street,Suite 515,Portland,USA,Headquarters,45.519475,-122.675255,OR,97205,"[-122.675255, 45.519475]","[-122.675255, 45.519475]"
1939,631 West 22nd Street,,Houston,USA,,29.8058389,-95.4091769,TX,77008,"[-95.4091769, 29.8058389]","[-95.4091769, 29.8058389]"
1940,"via Emilia Ponente, 1667",,Cesena,ITA,Italy Office,44.1480034,12.2091265,,47023,"[12.2091265, 44.1480034]","[12.2091265, 44.1480034]"
1941,2439 18th St. NW,,"Washington, DC",USA,"Washington, DC Office",38.921547,-77.041976,VA,20009,"[-77.041976, 38.921547]","[-77.041976, 38.921547]"
1942,176-179 Shoreditch High Street,,London,GBR,Head Office,51.5253765,-0.0856982,,E1 6HP,"[-0.0856982, 51.5253765]","[-0.0856982, 51.5253765]"
1943,1 Orient Way,Rutherford,NJ,USA,Head Office,40.827627,-74.10081,NJ,07070,"[-74.10081, 40.827627]","[-74.10081, 40.827627]"
1944,445 Park Avenue,,New York,USA,Americanlisted,40.7615818,-73.970624,NY,10022,"[-73.970624, 40.7615818]","[-73.970624, 40.7615818]"
1945,,,Scottsdale,USA,,33.581954,-111.899936,AZ,,"[-111.899936, 33.581954]","[-111.899936, 33.581954]"
1950,329 West Melinda Lane,Suite 1,Phoenix,USA,Corporate Office,33.681664,-112.079055,AZ,85027,"[-112.079055, 33.681664]","[-112.079055, 33.681664]"
1951,,,Dallas,USA,,32.781078,-96.797111,TX,,"[-96.797111, 32.781078]","[-96.797111, 32.781078]"
1953,WilhelmstraÃŸe 4a,,Stuttgart,DEU,Headquarter,48.7710311,9.1791331,,70182,"[9.1791331, 48.7710311]","[9.1791331, 48.7710311]"
1954,C/ sirena 3,,"Las rozas, Madrid",ESP,Madrid Office,40.5558192,-3.8976941,,28290,"[-3.8976941, 40.5558192]","[-3.8976941, 40.5558192]"
1955,PO Box 444,,Bury,GBR,A2B Office Technology,53.5870714,-2.3230453,,BL8 9AP,"[-2.3230453, 53.5870714]","[-2.3230453, 53.5870714]"
1956,2210 Lebanon Road,,Lawrenceville,USA,Main Office,33.991787,-84.068835,GA,30043,"[-84.068835, 33.991787]","[-84.068835, 33.991787]"
1960,4600 Davis Ave S,,Renton,USA,Headquarters,47.436988,-122.215892,WA,98055,"[-122.215892, 47.436988]","[-122.215892, 47.436988]"
1962,2214 Rock Hill Road,Suite 010,Herndon,USA,Headquarters,38.9552797,-77.3381855,VA,20170,"[-77.3381855, 38.9552797]","[-77.3381855, 38.9552797]"
1963,,,Cali,COL,Reseach and Development,3.4233155,-76.5245361,,,"[-76.5245361, 3.4233155]","[-76.5245361, 3.4233155]"
1964,"2nd Floor, NM 4&5, OLD DLF",Sector 14,Gurgaon,IND,Sagacious Softwares,35.201649,-106.607947,,122001,"[-106.607947, 35.201649]","[-106.607947, 35.201649]"
1965,1 Sketty Close,,Northampton,GBR,Bags Direct,52.2182759,-0.8590919,,NN4 7PL,"[-0.8590919, 52.2182759]","[-0.8590919, 52.2182759]"
1967,3925 W Braker Ln,,Austin,USA,MMIC Solutions Inc,30.396989,-97.735768,TX,78759-5316,"[-97.735768, 30.396989]","[-97.735768, 30.396989]"
1968,600 ne 36 st C1,,Miami,USA,Bueno Inc,25.8107412,-80.1866834,FL,33137,"[-80.1866834, 25.8107412]","[-80.1866834, 25.8107412]"
1969,371 NE Gilman Blvd.,Suite 260,Issaquah,USA,,47.3307422,-122.5833189,WA,98027,"[-122.5833189, 47.3307422]","[-122.5833189, 47.3307422]"
1971,Diputació 297,3º1º,Barcelona,ESP,Head Office,41.3763043,2.1752709,,08009,"[2.1752709, 41.3763043]","[2.1752709, 41.3763043]"
1973,57 rue de Chartres,,Le Perray en Yvelines,FRA,,48.6849631,1.8456964,,78610,"[1.8456964, 48.6849631]","[1.8456964, 48.6849631]"
1974,2613 Cherry St,,Denver,USA,HQ,39.755014,-104.934232,CO,80207,"[-104.934232, 39.755014]","[-104.934232, 39.755014]"
1977,700 - 1112 West Pender St.,,Vancouver,CAN,PCIS Head Office,49.2876045,-123.1208184,,V6E 2S1,"[-123.1208184, 49.2876045]","[-123.1208184, 49.2876045]"
1978,"1805 Royal Lane, Suite 102",,Dallas,USA,Dallas,32.896145,-96.916033,TX,75229,"[-96.916033, 32.896145]","[-96.916033, 32.896145]"
1979,15601 Crabbs Branch Way,,Rockville,USA,,39.110655,-77.154466,MD,20855,"[-77.154466, 39.110655]","[-77.154466, 39.110655]"
1981,19/57 Sukhumvit Suite,Sukhumvit Soi 13,Bangkok,THA,Soho Properties,13.7424752,100.5517604,,10110,"[100.5517604, 13.7424752]","[100.5517604, 13.7424752]"
1982,124/113 M.10,Pattaya 3rd Road,Pattaya,THA,Soho Properties (Pattaya),12.9327554,100.882017,,20260.,"[100.882017, 12.9327554]","[100.882017, 12.9327554]"
1983,35 Wilmington Aven,,Rehoboth Beach,USA,Main Office,38.715605,-75.079527,DE,19971,"[-75.079527, 38.715605]","[-75.079527, 38.715605]"
1984,105 Hembree Park Drive,Suite J,Roswell,USA,HQ,34.0552336,-84.3143525,GA,30076,"[-84.3143525, 34.0552336]","[-84.3143525, 34.0552336]"
1985,8603 Washington Blvd.,,Culver City,USA,Headquarters,34.030479,-118.3814329,CA,90232,"[-118.3814329, 34.030479]","[-118.3814329, 34.030479]"
1986,372 Cardinal Road,,Ringgold,USA,Headquarters,34.9790168,-85.0957662,GA,30736,"[-85.0957662, 34.9790168]","[-85.0957662, 34.9790168]"
1987,96 Farringdon Road,,London,GBR,,51.8205815,0.0118608,,EC1R 3EA,"[0.0118608, 51.8205815]","[0.0118608, 51.8205815]"
1988,12708 Riata Vista Circle,Suite A-106,Austin,USA,,30.43385,-97.739316,TX,78727,"[-97.739316, 30.43385]","[-97.739316, 30.43385]"
1989,5th Floor,6 Briset Street,London,GBR,Enternships HQ,51.5215279,-0.1038219,,EC1M 5NR,"[-0.1038219, 51.5215279]","[-0.1038219, 51.5215279]"
1993,Serrano 16,First floor,Madrid,ESP,Office,40.4226918,-3.6883074,,28001,"[-3.6883074, 40.4226918]","[-3.6883074, 40.4226918]"
1994,130 Barrow Street,#404,New York,USA,HQ,40.732225,-74.009311,NY,10014,"[-74.009311, 40.732225]","[-74.009311, 40.732225]"
1996,1510-H Caton Center Drive,,Baltimore,USA,,39.2569898,-76.684265,MD,21227,"[-76.684265, 39.2569898]","[-76.684265, 39.2569898]"
1997,"222, Al Attar Building",,Dubai,ARE,Content Syndicate,25.1910055,55.2373803,,115548,"[55.2373803, 25.1910055]","[55.2373803, 25.1910055]"
1998,58 rue Pottier,,Le Chesnay,FRA,Headquarters,48.8278444,2.1255025,,78150,"[2.1255025, 48.8278444]","[2.1255025, 48.8278444]"
1999,2434 Lincoln Blvd,Floor 2,Los Angeles,USA,,34.0137151,-118.4660597,CA,90291,"[-118.4660597, 34.0137151]","[-118.4660597, 34.0137151]"
2000,3656 Centerview Drive,Unit 1,Chantilly,USA,Headquarters,38.9043454,-77.4276702,VA,20151,"[-77.4276702, 38.9043454]","[-77.4276702, 38.9043454]"
2001,325 Lytton Ave,,Palo Alto,USA,HQ,40.010492,-105.276843,CA,94301,"[-105.276843, 40.010492]","[-105.276843, 40.010492]"
2003,,,Hastings-on-Hudson,USA,,41.035749,-73.865287,NY,10706,"[-73.865287, 41.035749]","[-73.865287, 41.035749]"
2005,1200 W. Lake St,,Chicago,USA,,41.88583,-87.657354,IL,60607,"[-87.657354, 41.88583]","[-87.657354, 41.88583]"
2006,12121 wilshire boulevard,suite 1100,Los Angeles,USA,,34.043948,-118.468204,CA,90025,"[-118.468204, 34.043948]","[-118.468204, 34.043948]"
2007,43174 Business Park Drive,Suite 103,Temecula,USA,,42.340653,-71.068003,CA,92590,"[-71.068003, 42.340653]","[-71.068003, 42.340653]"
2008,,,Orem,USA,,40.281338,-111.769518,UT,84058,"[-111.769518, 40.281338]","[-111.769518, 40.281338]"
2010,Via Nino Bixio 1,,Monza (MI),ITA,,45.587212,9.285378,,20052,"[9.285378, 45.587212]","[9.285378, 45.587212]"
2011,236 N Santa Cruz Ave,#100,Los Gatos,USA,,37.226709,-121.98147,CA,95030,"[-121.98147, 37.226709]","[-121.98147, 37.226709]"
2012,,,New York,USA,,40.757929,-73.985506,NY,,"[-73.985506, 40.757929]","[-73.985506, 40.757929]"
2013,,,Englewood,USA,,39.653054,-104.959446,CO,,"[-104.959446, 39.653054]","[-104.959446, 39.653054]"
2014,Frohburgstr. 100,,Zuerich,CHE,,47.392111,8.550481,,8006,"[8.550481, 47.392111]","[8.550481, 47.392111]"
2015,245 Ramona St.,,Palo Alto,USA,,37.400465,-122.073003,CA,94301,"[-122.073003, 37.400465]","[-122.073003, 37.400465]"
2016,701 Brazos St,Ste 1600,Austin,USA,HQ,30.269004,-97.740395,TX,78701,"[-97.740395, 30.269004]","[-97.740395, 30.269004]"
2017,Holzstr. 30,,Munich,DEU,Headquarters,48.1281209,11.5677288,,80469,"[11.5677288, 48.1281209]","[11.5677288, 48.1281209]"
2018,855 El Camino Real,"Bldg 4, Suite 272",Palo Alto,USA,Palo Alto Office,37.43938,-122.158804,CA,94301,"[-122.158804, 37.43938]","[-122.158804, 37.43938]"
2021,"1st Floor, Holborn Gate,","330 High Holborn,",London,GBR,Head Office,51.500395,-0.083743,,WC1V 7QT,"[-0.083743, 51.500395]","[-0.083743, 51.500395]"
2022,Köchlistrasse 15,,Zurich,CHE,,47.384199,8.492452,,8004,"[8.492452, 47.384199]","[8.492452, 47.384199]"
2023,8 Greenway Plaza,Suite 1340,Houston,USA,World Headquarters,29.730531,-95.431051,TX,77046,"[-95.431051, 29.730531]","[-95.431051, 29.730531]"
2025,Suite 210-807 Powell Street,,Vancouver,CAN,Tagga Media Inc.,49.284889,-123.095249,,V6A1H7,"[-123.095249, 49.284889]","[-123.095249, 49.284889]"
2028,"145 Town Center,",Suite 547,Corte Madera,USA,,37.9260091,-122.5162892,CA,94925,"[-122.5162892, 37.9260091]","[-122.5162892, 37.9260091]"
2029,590 Burbank St.,Suite 220,Broomfield,USA,Corporate Headquarters,39.930354,-105.092218,CO,80020,"[-105.092218, 39.930354]","[-105.092218, 39.930354]"
2030,Unit 5 Blackworth Court,Blackworth Industrial Estate,Swindon,GBR,Headquarters,51.641703,-1.711398,,SN6 7NS,"[-1.711398, 51.641703]","[-1.711398, 51.641703]"
2031,Hiilikatu 3,,Helsinki,FIN,Headquarters,60.16441,24.910863,,00180,"[24.910863, 60.16441]","[24.910863, 60.16441]"
2033,,,Sunnyvale,USA,Main Office,37.386441,-122.012707,CA,94085,"[-122.012707, 37.386441]","[-122.012707, 37.386441]"
2034,247 West 37th Street,Suite 602,New York,USA,Headquarters,40.753931,-73.991123,NY,10018,"[-73.991123, 40.753931]","[-73.991123, 40.753931]"
2036,"145 Town Center,",Suite 547,Corte Madera,USA,,37.9260091,-122.5162892,CA,94925,"[-122.5162892, 37.9260091]","[-122.5162892, 37.9260091]"
2037,590 Burbank St.,Suite 220,Broomfield,USA,Corporate Headquarters,39.930354,-105.092218,CO,80020,"[-105.092218, 39.930354]","[-105.092218, 39.930354]"
2038,Unit 5 Blackworth Court,Blackworth Industrial Estate,Swindon,GBR,Headquarters,51.641703,-1.711398,,SN6 7NS,"[-1.711398, 51.641703]","[-1.711398, 51.641703]"
2039,Hiilikatu 3,,Helsinki,FIN,Headquarters,60.16441,24.910863,,00180,"[24.910863, 60.16441]","[24.910863, 60.16441]"
2041,,,Sunnyvale,USA,Main Office,37.386441,-122.012707,CA,94085,"[-122.012707, 37.386441]","[-122.012707, 37.386441]"
2042,247 West 37th Street,Suite 602,New York,USA,Headquarters,40.753931,-73.991123,NY,10018,"[-73.991123, 40.753931]","[-73.991123, 40.753931]"
2043,250 Albany Street,,Springfield,USA,Headquarters,42.120143,-72.574804,MA,01050,"[-72.574804, 42.120143]","[-72.574804, 42.120143]"
2044,1750 14th st.,Suite D,Santa Monica,USA,HQ,34.016171,-118.4893368,CA,90404,"[-118.4893368, 34.016171]","[-118.4893368, 34.016171]"
2052,"501 Washington Street,","Suite C,",Durham,USA,,35.976805,-78.906843,NC,North Carolina 27701,"[-78.906843, 35.976805]","[-78.906843, 35.976805]"
2053,Sveavägen 20,,Stockholm,SWE,HQ,59.33477,18.0646942,,11157,"[18.0646942, 59.33477]","[18.0646942, 59.33477]"
